2025-03-07 16:48:16.861, FPS = 71.81593: Left Eye Position - X: -0.05832271, Y: 0.04643636, Z: 0.2477591, Gaze: (0.05, 0.22, 0.97) / Right Eye Position - X: 0.008706465, Y: 0.05054812, Z: 0.2434323, Gaze: (0.05, 0.22, 0.97)
2025-03-07 16:48:17.863, FPS = 71.82554: Left Eye Position - X: -0.0575955, Y: 0.0443516, Z: 0.2520968, Gaze: (0.05, 0.22, 0.97) / Right Eye Position - X: 0.00945767, Y: 0.0480884, Z: 0.2478017, Gaze: (0.05, 0.22, 0.97)
2025-03-07 16:48:18.866, FPS = 71.83608: Left Eye Position - X: -0.05163471, Y: 0.04305987, Z: 0.2525453, Gaze: (0.07, 0.22, 0.97) / Right Eye Position - X: 0.01536169, Y: 0.04574598, Z: 0.2468179, Gaze: (0.07, 0.22, 0.97)
2025-03-07 16:48:19.868, FPS = 71.93652: Left Eye Position - X: -0.04815866, Y: 0.04140681, Z: 0.2523235, Gaze: (0.09, 0.21, 0.97) / Right Eye Position - X: 0.01879431, Y: 0.04358736, Z: 0.2459138, Gaze: (0.09, 0.21, 0.97)
2025-03-07 16:48:20.870, FPS = 71.67167: Left Eye Position - X: -0.04601668, Y: 0.04199152, Z: 0.2527784, Gaze: (0.09, 0.22, 0.97) / Right Eye Position - X: 0.02087727, Y: 0.04409229, Z: 0.2457551, Gaze: (0.09, 0.22, 0.97)
2025-03-07 16:48:21.872, FPS = 71.54158: Left Eye Position - X: -0.04419272, Y: 0.04100166, Z: 0.2526973, Gaze: (0.10, 0.21, 0.97) / Right Eye Position - X: 0.02266219, Y: 0.04271909, Z: 0.2452134, Gaze: (0.10, 0.21, 0.97)
2025-03-07 16:48:22.876, FPS = 71.88087: Left Eye Position - X: -0.04444124, Y: 0.04142329, Z: 0.2515831, Gaze: (0.11, 0.22, 0.97) / Right Eye Position - X: 0.02238965, Y: 0.04290465, Z: 0.2438388, Gaze: (0.11, 0.22, 0.97)
2025-03-07 16:48:23.877, FPS = 72.07684: Left Eye Position - X: -0.04393617, Y: 0.03929182, Z: 0.2531553, Gaze: (0.11, 0.20, 0.97) / Right Eye Position - X: 0.02293944, Y: 0.04029875, Z: 0.2457272, Gaze: (0.11, 0.20, 0.97)
2025-03-07 16:48:24.880, FPS = 72.06419: Left Eye Position - X: -0.04442339, Y: 0.03789965, Z: 0.2556621, Gaze: (0.10, 0.20, 0.98) / Right Eye Position - X: 0.02249101, Y: 0.03895415, Z: 0.248599, Gaze: (0.10, 0.20, 0.98)
2025-03-07 16:48:25.882, FPS = 71.71049: Left Eye Position - X: -0.04375347, Y: 0.03702398, Z: 0.255746, Gaze: (0.10, 0.19, 0.98) / Right Eye Position - X: 0.02315046, Y: 0.03789271, Z: 0.2485594, Gaze: (0.10, 0.19, 0.98)
2025-03-07 16:48:26.884, FPS = 71.42712: Left Eye Position - X: -0.0428328, Y: 0.03705665, Z: 0.2552974, Gaze: (0.11, 0.20, 0.97) / Right Eye Position - X: 0.0240271, Y: 0.03816018, Z: 0.2477428, Gaze: (0.11, 0.20, 0.97)
2025-03-07 16:48:27.886, FPS = 71.81359: Left Eye Position - X: -0.04167202, Y: 0.0361945, Z: 0.2573378, Gaze: (0.11, 0.19, 0.97) / Right Eye Position - X: 0.02516925, Y: 0.03709569, Z: 0.2495938, Gaze: (0.11, 0.19, 0.97)
2025-03-07 16:48:28.889, FPS = 71.68131: Left Eye Position - X: -0.04161891, Y: 0.03517871, Z: 0.2592611, Gaze: (0.11, 0.19, 0.98) / Right Eye Position - X: 0.02521687, Y: 0.03605548, Z: 0.251467, Gaze: (0.11, 0.19, 0.98)
2025-03-07 16:48:29.892, FPS = 71.87635: Left Eye Position - X: -0.04244861, Y: 0.03272047, Z: 0.2617589, Gaze: (0.11, 0.17, 0.98) / Right Eye Position - X: 0.02437434, Y: 0.03372898, Z: 0.2538711, Gaze: (0.11, 0.17, 0.98)
2025-03-07 16:48:30.895, FPS = 71.42451: Left Eye Position - X: -0.04235838, Y: 0.03151869, Z: 0.2631286, Gaze: (0.11, 0.16, 0.98) / Right Eye Position - X: 0.02445877, Y: 0.03258456, Z: 0.2551995, Gaze: (0.11, 0.16, 0.98)
2025-03-07 16:48:31.895, FPS = 71.79276: Left Eye Position - X: -0.03411781, Y: 0.04492351, Z: 0.2532619, Gaze: (0.20, 0.30, 0.93) / Right Eye Position - X: 0.03150201, Y: 0.0467141, Z: 0.2384507, Gaze: (0.20, 0.30, 0.93)
2025-03-07 16:48:32.898, FPS = 71.90335: Left Eye Position - X: -0.03343454, Y: 0.03993034, Z: 0.2558592, Gaze: (0.18, 0.25, 0.95) / Right Eye Position - X: 0.03253619, Y: 0.04154713, Z: 0.2426764, Gaze: (0.18, 0.25, 0.95)
2025-03-07 16:48:33.900, FPS = 71.98542: Left Eye Position - X: -0.04036441, Y: 0.03473362, Z: 0.2649411, Gaze: (0.18, 0.22, 0.96) / Right Eye Position - X: 0.02567063, Y: 0.03734072, Z: 0.2522481, Gaze: (0.18, 0.22, 0.96)
2025-03-07 16:48:34.902, FPS = 71.69872: Left Eye Position - X: -0.04583107, Y: 0.03395598, Z: 0.3290238, Gaze: (0.21, 0.25, 0.95) / Right Eye Position - X: 0.01950206, Y: 0.03854798, Z: 0.3135631, Gaze: (0.21, 0.25, 0.95)
2025-03-07 16:48:35.904, FPS = 72.05428: Left Eye Position - X: -0.04653054, Y: 0.02952376, Z: 0.316826, Gaze: (0.17, 0.19, 0.97) / Right Eye Position - X: 0.01896913, Y: 0.03783691, Z: 0.3038175, Gaze: (0.17, 0.19, 0.97)
2025-03-07 16:48:36.906, FPS = 71.5584: Left Eye Position - X: -0.05024397, Y: 0.02341601, Z: 0.3242494, Gaze: (0.18, 0.16, 0.97) / Right Eye Position - X: 0.01517009, Y: 0.03199764, Z: 0.3109868, Gaze: (0.18, 0.16, 0.97)
2025-03-07 16:48:37.909, FPS = 71.91405: Left Eye Position - X: -0.05019853, Y: 0.02120169, Z: 0.3266356, Gaze: (0.18, 0.15, 0.97) / Right Eye Position - X: 0.01523648, Y: 0.02986879, Z: 0.3135329, Gaze: (0.18, 0.15, 0.97)
2025-03-07 16:48:38.911, FPS = 71.68797: Left Eye Position - X: -0.04928499, Y: 0.01910109, Z: 0.3297341, Gaze: (0.18, 0.14, 0.97) / Right Eye Position - X: 0.01607957, Y: 0.02766185, Z: 0.3162164, Gaze: (0.18, 0.14, 0.97)
2025-03-07 16:48:39.914, FPS = 71.83593: Left Eye Position - X: -0.0459844, Y: 0.01707401, Z: 0.3313278, Gaze: (0.19, 0.13, 0.97) / Right Eye Position - X: 0.01931855, Y: 0.02538665, Z: 0.3173649, Gaze: (0.19, 0.13, 0.97)
2025-03-07 16:48:40.916, FPS = 71.99311: Left Eye Position - X: -0.04594862, Y: 0.01543821, Z: 0.3343786, Gaze: (0.19, 0.12, 0.97) / Right Eye Position - X: 0.01933707, Y: 0.0238541, Z: 0.3203968, Gaze: (0.19, 0.12, 0.97)
2025-03-07 16:48:41.918, FPS = 72.20901: Left Eye Position - X: -0.04558087, Y: 0.01490952, Z: 0.3340096, Gaze: (0.19, 0.12, 0.97) / Right Eye Position - X: 0.01973433, Y: 0.02320277, Z: 0.3200925, Gaze: (0.19, 0.12, 0.97)
2025-03-07 16:48:42.921, FPS = 71.80161: Left Eye Position - X: -0.04495648, Y: 0.01402042, Z: 0.3317873, Gaze: (0.19, 0.11, 0.98) / Right Eye Position - X: 0.02041894, Y: 0.02223801, Z: 0.3181103, Gaze: (0.19, 0.11, 0.98)
2025-03-07 16:48:43.923, FPS = 71.73177: Left Eye Position - X: -0.04445883, Y: 0.01831482, Z: 0.3310087, Gaze: (0.19, 0.15, 0.97) / Right Eye Position - X: 0.02091449, Y: 0.0264785, Z: 0.3172892, Gaze: (0.19, 0.15, 0.97)
2025-03-07 16:48:44.925, FPS = 71.86549: Left Eye Position - X: -0.0429261, Y: 0.0165182, Z: 0.3337151, Gaze: (0.20, 0.14, 0.97) / Right Eye Position - X: 0.02231514, Y: 0.02460365, Z: 0.3193364, Gaze: (0.20, 0.14, 0.97)
2025-03-07 16:48:45.927, FPS = 71.66962: Left Eye Position - X: -0.03155404, Y: 0.0174849, Z: 0.338772, Gaze: (0.28, 0.18, 0.94) / Right Eye Position - X: 0.03209276, Y: 0.02566607, Z: 0.3185065, Gaze: (0.28, 0.18, 0.94)
2025-03-07 16:48:46.930, FPS = 71.91102: Left Eye Position - X: -0.03279836, Y: 0.01429694, Z: 0.3439073, Gaze: (0.27, 0.16, 0.95) / Right Eye Position - X: 0.03104329, Y: 0.02253427, Z: 0.3242877, Gaze: (0.27, 0.16, 0.95)
2025-03-07 16:48:47.932, FPS = 71.59465: Left Eye Position - X: -0.03344693, Y: 0.01354443, Z: 0.3428042, Gaze: (0.27, 0.15, 0.95) / Right Eye Position - X: 0.0304319, Y: 0.02170566, Z: 0.323274, Gaze: (0.27, 0.15, 0.95)
2025-03-07 16:48:48.934, FPS = 71.76373: Left Eye Position - X: -0.03481248, Y: 0.01145564, Z: 0.3444596, Gaze: (0.26, 0.13, 0.96) / Right Eye Position - X: 0.02937625, Y: 0.01935093, Z: 0.3258583, Gaze: (0.26, 0.13, 0.96)
2025-03-07 16:48:49.937, FPS = 72.20251: Left Eye Position - X: -0.0357977, Y: 0.01055799, Z: 0.3432819, Gaze: (0.25, 0.12, 0.96) / Right Eye Position - X: 0.02868446, Y: 0.01812471, Z: 0.3255807, Gaze: (0.25, 0.12, 0.96)
2025-03-07 16:48:50.938, FPS = 71.97481: Left Eye Position - X: -0.03484115, Y: 0.007848814, Z: 0.3438405, Gaze: (0.25, 0.10, 0.96) / Right Eye Position - X: 0.02973465, Y: 0.01514451, Z: 0.3263683, Gaze: (0.25, 0.10, 0.96)
2025-03-07 16:48:51.942, FPS = 71.94831: Left Eye Position - X: -0.0325532, Y: 0.01076573, Z: 0.3319373, Gaze: (0.25, 0.09, 0.96) / Right Eye Position - X: 0.03218001, Y: 0.01724885, Z: 0.3147292, Gaze: (0.25, 0.09, 0.96)
2025-03-07 16:48:52.943, FPS = 70.6867: Left Eye Position - X: -0.03114721, Y: 0.01027157, Z: 0.3294765, Gaze: (0.25, 0.08, 0.97) / Right Eye Position - X: 0.03360801, Y: 0.01655287, Z: 0.3122764, Gaze: (0.25, 0.08, 0.97)
2025-03-07 16:48:53.959, FPS = 72.10094: Left Eye Position - X: -0.04132101, Y: 0.01813977, Z: 0.2962463, Gaze: (0.29, 0.15, 0.95) / Right Eye Position - X: 0.02277475, Y: 0.02187115, Z: 0.2760882, Gaze: (0.29, 0.15, 0.95)
2025-03-07 16:48:54.961, FPS = 71.9704: Left Eye Position - X: -0.05023126, Y: 0.01591427, Z: 0.3001944, Gaze: (0.29, 0.16, 0.94) / Right Eye Position - X: 0.01380442, Y: 0.01912018, Z: 0.2797569, Gaze: (0.29, 0.16, 0.94)
