2025-03-07 17:20:39.623, FPS = 71.93915: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.08739263, Y: -0.3336383, Z: 0.4619056, Rotation: (7.88, 19.01, 341.46)
2025-03-07 17:20:44.635, FPS = 71.94144: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2133468, Y: -0.3265457, Z: 0.5725541, Rotation: (347.95, 60.47, 332.58)
2025-03-07 17:20:49.646, FPS = 72.09746: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2108696, Y: -0.3360972, Z: 0.5800022, Rotation: (358.36, 66.27, 345.49)
2025-03-07 17:20:54.657, FPS = 71.59865: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2099321, Y: -0.3349821, Z: 0.5787857, Rotation: (358.50, 66.66, 345.83)
2025-03-07 17:20:59.667, FPS = 72.04664: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2200161, Y: -0.3490656, Z: 0.5883676, Rotation: (356.60, 65.14, 341.36)
2025-03-07 17:21:04.674, FPS = 71.47292: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2306714, Y: -0.3582533, Z: 0.6059586, Rotation: (355.23, 64.33, 338.09)
2025-03-07 17:21:09.675, FPS = 71.37815: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2185557, Y: -0.3479991, Z: 0.5781165, Rotation: (358.21, 64.18, 339.07)
2025-03-07 17:21:14.686, FPS = 71.93872: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2210684, Y: -0.3498908, Z: 0.581473, Rotation: (2.69, 65.50, 342.80)
2025-03-07 17:21:19.697, FPS = 72.05579: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2179877, Y: -0.3461472, Z: 0.5774759, Rotation: (3.18, 65.61, 343.36)
2025-03-07 17:21:24.709, FPS = 71.50048: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1186652, Y: -0.2966413, Z: 0.5008554, Rotation: (11.57, 25.10, 321.58)
2025-03-07 17:21:29.722, FPS = 72.17043: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.09440586, Y: -0.3394757, Z: 0.469786, Rotation: (11.61, 14.04, 337.41)
2025-03-07 17:21:34.733, FPS = 72.10186: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.09416083, Y: -0.3328083, Z: 0.4684789, Rotation: (12.23, 16.73, 341.75)
2025-03-07 17:21:39.744, FPS = 72.21912: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.174464, Y: -0.2648661, Z: 0.4879671, Rotation: (72.22, 345.33, 263.26)
2025-03-07 17:21:44.744, FPS = 71.21623: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00)
